current_symbol,primary_FBid,sequence_loc
Rab10,FBgn0015789,X:20251338..20254691(1)
CG17065,FBgn0031099,X:20254692..20257199(-1)
l(1)G0004,FBgn0027334,X:20391447..20392401(1)
Syx16,FBgn0031106,X:20392334..20393751(-1)
HERC2,FBgn0031107,X:20394395..20412247(1)
Pp4-19C,FBgn0023177,X:20421087..20424002(-1)
cactin,FBgn0031114,X:20424069..20426402(1)
CG15456,FBgn0040650,X:20426431..20427042(-1)
CG11710,FBgn0031115,X:20427411..20429673(-1)
mal,FBgn0002641,X:20429675..20433210(1)
tbc,FBgn0052506,X:20449331..20467065(1)
GstT3,FBgn0031117,X:20467455..20469796(1)
RhoGAP19D,FBgn0031118,X:20469955..20510694(-1)
CG1812,FBgn0031119,X:20511544..20515828(1)
Tak1,FBgn0026323,X:20515908..20524928(-1)
asRNA:CR45466,FBgn0267022,X:20656891..20657678(-1)
Cyp6v1,FBgn0031126,X:20657122..20661425(1)
run,FBgn0003300,X:20690670..20697321(1)
CG1532,FBgn0031143,X:21026125..21028361(-1)
CG1529,FBgn0031144,X:21028652..21031950(-1)
Ntf-2,FBgn0031145,X:21035469..21041467(1)
Mgstl,FBgn0025814,X:21042125..21044107(1)
Cbs,FBgn0031148,X:21045138..21049096(1)
Stt3A,FBgn0031149,X:21049885..21053937(-1)
bves,FBgn0031150,X:21053963..21082391(1)
CG32512,FBgn0052512,X:21062277..21067540(-1)
CG1503,FBgn0031157,X:21104695..21106369(-1)
CG15445,FBgn0031161,X:21117159..21120444(1)
ldd,FBgn0083956,X:21123634..21140951(1)
Mnr,FBgn0052521,X:21205310..21281171(-1)
Abca3,FBgn0031170,X:21292308..21306665(-1)
Rpt6,FBgn0020369,X:21316052..21317663(1)
Dd,FBgn0029067,X:21319791..21324009(-1)
CG1486,FBgn0031174,X:21324046..21328150(1)
tty,FBgn0015558,X:21328613..21339676(-1)
fliI,FBgn0000709,X:21339741..21345088(1)
dod,FBgn0015379,X:21345358..21346858(1)
peng,FBgn0015527,X:21346503..21349843(-1)
sol,FBgn0003464,X:21350280..21357912(1)
Septin1,FBgn0011710,X:21358286..21361688(1)
slgA,FBgn0003423,X:21374002..21385159(1)
Ddx56,FBgn0001565,X:21385518..21387946(-1)
mst,FBgn0020272,X:21388977..21391533(1)
Cyp6t1,FBgn0031182,X:21517434..21519218(-1)
GCS2alpha,FBgn0027588,X:21600502..21605264(-1)
DIP1,FBgn0024807,X:21624796..21630148(-1)
CG14621,FBgn0031183,X:22444227..22447808(1)
CG14615,FBgn0031184,X:22447183..22449491(-1)
wap,FBgn0266848,X:22451445..22455422(-1)
Usp2,FBgn0031187,X:22455803..22470146(1)
CG14613,FBgn0031188,X:22469981..22472021(-1)
CG14618,FBgn0031189,X:22473698..22474998(1)
CG12576,FBgn0031190,X:22474851..22482357(-1)
Cp110,FBgn0031191,X:22482082..22487458(1)
l(1)G0196,FBgn0027279,X:22487180..22508129(1)
CG17600,FBgn0031195,X:22515197..22542024(1)
S6kII,FBgn0262866,X:22529964..22536371(1)
CG17598,FBgn0031194,X:22534831..22540383(-1)
Cda4,FBgn0052499,X:22583634..22632710(-1)
fog,FBgn0000719,X:22824317..22855194(-1)
lncRNA:CR45502,FBgn0267058,X:22958076..22958827(-1)
Rab21,FBgn0039966,X:23012140..23013409(-1)
Coa7,FBgn0039965,X:23013495..23016586(1)
zyd,FBgn0265767,X:23022898..23035550(1)
CG12061,FBgn0040031,X:23036066..23047678(1)
CG17167,FBgn0039941,X:23068301..23081144(1)
CG17163,FBgn0039942,X:23080759..23082709(-1)
CG17168,FBgn0039943,X:23082738..23084576(1)
su(f),FBgn0003559,X:23096771..23101431(1)
ATbp,FBgn0039946,X:23106003..23108331(1)
18SrRNA-Psi:CR41602,FBgn0085813,X:23211192..23213166(1)
28SrRNA-Psi:CR45859,FBgn0267519,X:23214452..23217140(1)
pre-rRNA:CR45856,FBgn0267516,X:23278007..23283731(-1)
l(2)gl,FBgn0002121,2L:9839..21376(-1)
Cda5,FBgn0051973,2L:25402..65404(-1)
dbr,FBgn0067779,2L:66482..71390(1)
asRNA:CR44987,FBgn0266322,2L:71039..73836(-1)
galectin,FBgn0031213,2L:71757..76211(1)
net,FBgn0002931,2L:82421..87387(-1)
Zir,FBgn0031216,2L:94739..102086(1)
Creld,FBgn0031217,2L:102380..104142(1)
Nhe1,FBgn0026787,2L:103962..106732(-1)
Sam-S,FBgn0005278,2L:106903..114432(1)
ND-15,FBgn0031228,2L:114726..156030(1)
CG3164,FBgn0288229,2L:122624..130791(-1)
Gs1,FBgn0001142,2L:132077..134472(1)
CG11454,FBgn0031224,2L:143323..144227(1)
Pus10,FBgn0031227,2L:153539..155305(-1)
CG3436,FBgn0031229,2L:156029..157666(1)
CG33635,FBgn0053635,2L:157836..158664(-1)
spen,FBgn0016977,2L:159032..203397(1)
mRpL10,FBgn0031231,2L:203779..204782(1)
Tbc1d15-17,FBgn0031233,2L:207179..210725(1)
kis,FBgn0266557,2L:210735..250823(-1)
lncRNA:CR44218,FBgn0265149,2L:248909..249812(1)
Rpp30,FBgn0283652,2L:251039..252373(-1)
Dus1,FBgn0031238,2L:252589..271744(-1)
CG17075,FBgn0031239,2L:259949..267505(-1)
mbm,FBgn0086912,2L:271912..273715(-1)
CG11555,FBgn0086856,2L:273836..274766(1)
CG17078,FBgn0086855,2L:274740..278234(-1)
smo,FBgn0003444,2L:277582..282167(1)
CG11601,FBgn0031244,2L:281670..283269(-1)
CG3625,FBgn0031245,2L:283385..291795(-1)
CG11562,FBgn0031247,2L:292419..293222(1)
U2af38,FBgn0017457,2L:292959..294681(-1)
Stip1,FBgn0024352,2L:295122..297449(1)
Pi3K21B,FBgn0020622,2L:297880..305233(1)
Plc21C,FBgn0004611,2L:305935..355566(1)
Ent1,FBgn0031250,2L:355565..357874(-1)
Polr1B,FBgn0003278,2L:404285..407969(1)
AP-2alpha,FBgn0264855,2L:408030..414777(-1)
ebi,FBgn0263933,2L:415067..418536(1)
CG13690,FBgn0031252,2L:418434..419652(-1)
RpLP1,FBgn0002593,2L:419952..420864(1)
CG11885,FBgn0031253,2L:420895..421450(-1)
ex,FBgn0004583,2L:431227..448701(1)
crq,FBgn0015924,2L:448254..453024(-1)
shv,FBgn0031256,2L:453108..454654(1)
MED15,FBgn0027592,2L:473013..476170(1)
ush,FBgn0003963,2L:476220..540560(1)
cbt,FBgn0043364,2L:476446..479688(-1)
lwr,FBgn0010602,2L:540599..542580(-1)
Spp,FBgn0031260,2L:542786..544653(-1)
Tspo,FBgn0031263,2L:559612..560523(1)
CG2794,FBgn0031265,2L:564163..566472(1)
Nle,FBgn0021874,2L:566366..568121(-1)
Sf3b1,FBgn0031266,2L:568340..572907(1)
Ipk2,FBgn0031267,2L:573033..574264(-1)
cold,FBgn0031268,2L:574291..575734(1)
Gsc,FBgn0010323,2L:583540..594685(-1)
CG13689,FBgn0031270,2L:602813..604430(1)
ds,FBgn0284247,2L:640013..714983(-1)
Nnf1b,FBgn0051658,2L:810577..811531(1)
Dbp21E2,FBgn0086130,2L:811584..813380(1)
Saf6,FBgn0031281,2L:813314..815950(-1)
Pex12,FBgn0031282,2L:815993..818096(1)
PGAP2,FBgn0031284,2L:818079..819508(-1)
Clp,FBgn0015621,2L:819964..821209(1)
CG3662,FBgn0031285,2L:821289..824337(1)
CG3862,FBgn0031286,2L:824329..825861(-1)
dock,FBgn0010583,2L:825969..833241(1)
drongo,FBgn0020304,2L:833584..851071(-1)
CG4291,FBgn0031287,2L:851251..852730(-1)
kraken,FBgn0020545,2L:852768..854539(1)
aru,FBgn0029095,2L:861849..868354(-1)
dbe,FBgn0020305,2L:868673..869857(-1)
PNUTS,FBgn0053526,2L:870465..877038(1)
gNacalpha,FBgn0031296,2L:1037246..1038685(1)
S,FBgn0003310,2L:1049674..1077815(-1)
ast,FBgn0015905,2L:1077948..1080803(1)
Atg4a,FBgn0031298,2L:1080911..1085380(1)
PolrMT,FBgn0261938,2L:1103254..1108373(-1)
Pino,FBgn0016926,2L:1114654..1128953(-1)
TBC1D23,FBgn0031304,2L:1129316..1132411(1)
l(2)10685,FBgn0283525,2L:1147822..1149449(1)
Tfb4,FBgn0031309,2L:1149445..1150677(-1)
Vps29,FBgn0031310,2L:1150766..1151764(1)
capt,FBgn0261458,2L:1151678..1158262(-1)
Tango14,FBgn0031312,2L:1158661..1160220(1)
IntS14,FBgn0031314,2L:1164443..1166425(1)
CG14341,FBgn0031315,2L:1166506..1167211(1)
Plap,FBgn0024314,2L:1167172..1170365(-1)
CG31922,FBgn0051922,2L:1170181..1170789(1)
Charon,FBgn0031317,2L:1170753..1172805(-1)
CG4887,FBgn0031318,2L:1173009..1177589(1)
CG4896,FBgn0031319,2L:1177690..1182454(1)
CG5126,FBgn0031320,2L:1182297..1184020(-1)
Tgt,FBgn0031321,2L:1184065..1185698(1)
CG43349,FBgn0263081,2L:1200205..1200663(1)
robo2,FBgn0002543,2L:1380086..1420453(-1)
asRNA:CR44897,FBgn0266202,2L:1381211..1382796(1)
CG7420,FBgn0031344,2L:1500784..1502904(-1)
halo,FBgn0001174,2L:1517533..1518148(-1)
haf,FBgn0261509,2L:1555129..1609389(1)
Rab3GAP1,FBgn0051935,2L:1594822..1611157(-1)
CG14352,FBgn0031351,2L:1611410..1612576(1)
RFeSP,FBgn0021906,2L:1612429..1614160(-1)
chinmo,FBgn0086758,2L:1651258..1704682(1)
cpb,FBgn0011570,2L:1704902..1706962(1)
CG17660,FBgn0031356,2L:1707132..1710421(-1)
mRpL48,FBgn0031357,2L:1710462..1711465(1)
frtz,FBgn0086698,2L:1711302..1715851(-1)
Rim2,FBgn0031359,2L:1716244..1724388(-1)
Eno,FBgn0000579,2L:1724768..1729636(-1)
Rrp40,FBgn0260648,2L:1728732..1729762(1)
CG31937,FBgn0031360,2L:1729887..1731070(1)
CG17652,FBgn0031361,2L:1731033..1732356(-1)
CG17646,FBgn0264494,2L:1732524..1750612(1)
CG17712,FBgn0027597,2L:1750687..1752122(-1)
Wdr62,FBgn0031374,2L:1884622..1944289(1)
erm,FBgn0031375,2L:1950239..1970362(-1)
Der-1,FBgn0267972,2L:1973957..1975413(1)
CG15356,FBgn0031377,2L:1975463..1980755(-1)
CG15362,FBgn0031378,2L:1981176..1982099(1)
CG7289,FBgn0031379,2L:1982217..1984514(1)
Got2,FBgn0001125,2L:1984512..1987758(-1)
Npc2a,FBgn0031381,2L:1988290..1988940(1)
CG4238,FBgn0031384,2L:2009859..2030788(1)
Su(dx),FBgn0003557,2L:2037714..2044372(1)
Kebab,FBgn0028952,2L:2045494..2048054(1)
Glyp,FBgn0004507,2L:2130813..2137296(1)
tho2,FBgn0031390,2L:2137350..2145187(-1)
CG11723,FBgn0031391,2L:2145297..2147275(-1)
Tbcd,FBgn0027509,2L:2147518..2151664(1)
AIF,FBgn0031392,2L:2151754..2155389(1)
CG15382,FBgn0031393,2L:2155753..2156790(1)
aop,FBgn0000097,2L:2156484..2178754(-1)
CG10874,FBgn0031395,2L:2189914..2192386(-1)
Uch,FBgn0010288,2L:2212738..2214211(-1)
CG34174,FBgn0085203,2L:2214266..2215167(1)
daed,FBgn0031398,2L:2214972..2216311(-1)
mio,FBgn0031399,2L:2217290..2220625(1)
papi,FBgn0031401,2L:2220748..2225544(1)
CG15387,FBgn0031403,2L:2225545..2226294(-1)
sau,FBgn0267378,2L:2226342..2231099(1)
Sec24CD,FBgn0262126,2L:2231106..2236844(-1)
CG4267,FBgn0264979,2L:2242378..2245274(1)
CG9967,FBgn0031413,2L:2308761..2357356(-1)
Rab5,FBgn0014010,2L:2359142..2365273(-1)
Axud1,FBgn0261647,2L:2365345..2370137(1)
CG3597,FBgn0031417,2L:2370152..2371524(-1)
CG3609,FBgn0031418,2L:2372455..2374627(-1)
CG15390,FBgn0031419,2L:2374713..2375697(1)
Atxn7,FBgn0031420,2L:2375841..2380506(1)
Eogt,FBgn0264672,2L:2381097..2383073(1)
PIG-Wa,FBgn0031422,2L:2383202..2384747(1)
CG9886,FBgn0031428,2L:2420830..2424647(1)
dpp,FBgn0000490,2L:2428372..2459823(1)
Slh,FBgn0264978,2L:2488197..2492671(-1)
oaf,FBgn0011818,2L:2492955..2498846(1)
insv,FBgn0031434,2L:2575280..2576997(-1)
Elba2,FBgn0031435,2L:2577687..2579179(1)
ND-B17.2,FBgn0031436,2L:2579201..2580172(-1)
Arpc5,FBgn0031437,2L:2580292..2581423(1)
Drp1,FBgn0026479,2L:2581281..2585430(-1)
CG31689,FBgn0031449,2L:2725674..2739830(1)
Hrs,FBgn0031450,2L:2739986..2743377(1)
Cwc25,FBgn0031452,2L:2745098..2746944(1)
Pgk,FBgn0250906,2L:2746880..2753068(-1)
Bacc,FBgn0031453,2L:2752445..2757975(1)
Tnpo-SR,FBgn0031456,2L:2759924..2763889(1)
Snx21,FBgn0031457,2L:2763416..2765665(-1)
aph-1,FBgn0031458,2L:2766233..2767281(1)
Taf10b,FBgn0026324,2L:2767286..2767845(-1)
Taf10,FBgn0028398,2L:2767890..2768612(1)
colt,FBgn0019830,2L:2768590..2770069(-1)
HINT1,FBgn0031459,2L:2770135..2770904(1)
Duox,FBgn0283531,2L:2815970..2830248(-1)
RpS21,FBgn0015521,2L:2856070..2857029(1)
CG2991,FBgn0031474,2L:2857164..2868548(1)
Ifrd1,FBgn0051694,2L:2868627..2874489(-1)
CG8814,FBgn0031478,2L:2874890..2877168(1)
Prx6a,FBgn0031479,2L:2877091..2878232(-1)
Sbat,FBgn0051950,2L:2878344..2879001(1)
RabGGTb,FBgn0028970,2L:2879112..2880708(1)
NTPase,FBgn0024947,2L:2880704..2885850(-1)
lilli,FBgn0041111,2L:2885929..2954406(1)
Ts,FBgn0024920,2L:2968293..2969638(-1)
Rrp1,FBgn0004584,2L:2969773..2972508(-1)
gammaTub23C,FBgn0260639,2L:2972891..2974858(1)
CG9641,FBgn0031483,2L:2974859..2976862(-1)
CG3165,FBgn0031484,2L:2977122..2978500(1)
CG9643,FBgn0031485,2L:2978411..2979288(-1)
Chd1,FBgn0250786,2L:2979562..2987723(-1)
Bem46,FBgn0025109,2L:2988116..2990075(1)
okr,FBgn0002989,2L:2989594..2992759(-1)
CG3558,FBgn0025681,2L:2992870..2998726(1)
Ccdc85,FBgn0031488,2L:2999286..3016069(1)
alpha4GT1,FBgn0031491,2L:3021309..3023141(-1)
Prp40,FBgn0031492,2L:3023226..3026439(1)
Sf3b2,FBgn0031493,2L:3026252..3029168(-1)
CG17219,FBgn0031494,2L:3029253..3030616(1)
GABPI,FBgn0031495,2L:3030539..3032300(1)
SerRS,FBgn0031497,2L:3035493..3037403(-1)
CG17260,FBgn0031498,2L:3037230..3038793(1)
cnir,FBgn0243513,2L:3038826..3039812(-1)
CG17221,FBgn0031500,2L:3039976..3041890(1)
FASN1,FBgn0283427,2L:3056598..3068177(1)
toc,FBgn0015600,2L:3068345..3144786(-1)
ND-B14.5B,FBgn0031505,2L:3144953..3145848(-1)
Mad,FBgn0011648,2L:3146056..3159643(-1)
gkt,FBgn0260817,2L:3159950..3162399(1)
Hydr2,FBgn0014906,2L:3163645..3169462(1)
CG44002,FBgn0264744,2L:3169820..3171092(-1)
CR44003,FBgn0264745,2L:3171035..3172799(-1)
OtopLb,FBgn0031514,2L:3275800..3280534(-1)
CG9663,FBgn0031516,2L:3294926..3303130(-1)
Fign,FBgn0031519,2L:3316794..3319872(-1)
E23,FBgn0020445,2L:3334875..3354829(-1)
GramD1B,FBgn0085423,2L:3358640..3373372(-1)
CG9662,FBgn0031529,2L:3375832..3376737(-1)
Ptpa,FBgn0016698,2L:3377002..3378590(1)
Snx1,FBgn0031534,2L:3449683..3452106(1)
CG12795,FBgn0031535,2L:3452466..3453755(1)
Cog3,FBgn0031536,2L:3453697..3457064(-1)
Sec5,FBgn0266670,2L:3457302..3460367(1)
CG3246,FBgn0031538,2L:3460322..3461952(-1)
msl-2,FBgn0005616,2L:3462218..3466112(-1)
ND-PDSW,FBgn0021967,2L:3466157..3467334(1)
Pif1,FBgn0031540,2L:3467342..3470004(-1)
Thor,FBgn0261560,2L:3478434..3479612(1)
LeuRS,FBgn0284253,2L:3510328..3514656(-1)
CG17593,FBgn0031544,2L:3514872..3517264(1)
Spindly,FBgn0031549,2L:3527387..3530317(-1)
drm,FBgn0024244,2L:3539247..3548423(1)
sob,FBgn0004892,2L:3578013..3580769(-1)
odd,FBgn0002985,2L:3604224..3606756(-1)
for,FBgn0000721,2L:3622074..3656953(-1)
cutlet,FBgn0015376,2L:3707230..3711748(-1)
CG2818,FBgn0031566,2L:3713360..3716810(1)
bowl,FBgn0004893,2L:3771700..3784121(1)
Reph,FBgn0021800,2L:3803545..3810671(1)
CG3407,FBgn0031573,2L:3810801..3813410(-1)
slp1,FBgn0003430,2L:3825675..3827099(1)
slp2,FBgn0004567,2L:3836840..3839185(1)
TTLL4B,FBgn0031574,2L:3862668..3867507(1)
Cep97,FBgn0031575,2L:3867697..3871425(1)
CG31957,FBgn0051957,2L:3871271..3872458(-1)
capu,FBgn0000256,2L:3872646..3902860(-1)
ed,FBgn0000547,2L:4031377..4115749(1)
Sr-CI,FBgn0014033,2L:4121702..4124153(1)
Tbcc,FBgn0051961,2L:4186250..4187793(-1)
Naprt,FBgn0031589,2L:4189340..4198071(-1)
ft,FBgn0001075,2L:4198404..4221796(-1)
CG3702,FBgn0031590,2L:4224650..4227097(-1)
RpL40,FBgn0003941,2L:4227699..4228561(1)
Art2,FBgn0031592,2L:4277696..4281324(-1)
tutl,FBgn0010473,2L:4283148..4323781(1)
Atet,FBgn0020762,2L:4333913..4345776(1)
Traf4,FBgn0026319,2L:4361925..4380716(1)
CG17612,FBgn0031597,2L:4380722..4382735(-1)
Vps53,FBgn0031598,2L:4382925..4386062(-1)
Psf2,FBgn0261976,2L:4386182..4387356(-1)
Tps1,FBgn0027560,2L:4388327..4392778(1)
CG3652,FBgn0031600,2L:4392770..4393876(-1)
l(2)k05819,FBgn0022153,2L:4394196..4400487(1)
Dim1,FBgn0031601,2L:4403251..4403955(1)
CG15432,FBgn0031603,2L:4442320..4442985(1)
morgue,FBgn0027609,2L:4442870..4444680(-1)
Elp3,FBgn0031604,2L:4444732..4446765(1)
MFS18,FBgn0025684,2L:4446670..4448635(-1)
CG15439,FBgn0031606,2L:4449295..4453038(-1)
Secp43,FBgn0031607,2L:4453169..4454453(-1)
Gs1l,FBgn0019982,2L:4455137..4456807(-1)
RpL27A,FBgn0285948,2L:4457186..4458364(-1)
mRpL27,FBgn0053002,2L:4458595..4459638(-1)
CG15435,FBgn0031608,2L:4459729..4461746(1)
CG15443,FBgn0031609,2L:4461657..4463447(-1)
Paris,FBgn0031610,2L:4463611..4465075(1)
FIG4,FBgn0031611,2L:4465174..4468022(1)
dpy,FBgn0053196,2L:4477462..4614300(-1)
Elba1,FBgn0000227,2L:4683052..4684461(-1)
Elba3,FBgn0031621,2L:4687511..4688956(1)
Taf12L,FBgn0031623,2L:4700835..4701485(-1)
CG3294,FBgn0031628,2L:4794549..4796581(1)
slf,FBgn0287234,2L:4796600..4801923(-1)
CG3225,FBgn0031631,2L:4815613..4818245(-1)
CG15628,FBgn0031632,2L:4821774..4828945(1)
Fnta,FBgn0031633,2L:4829214..4830693(-1)
tank,FBgn0031635,2L:4835335..4837999(-1)
CG12194,FBgn0031636,2L:4838347..4841465(1)
mxt,FBgn0031637,2L:4841482..4847295(-1)
CG11927,FBgn0031638,2L:4847766..4849499(1)
mRpS2,FBgn0031639,2L:4849439..4850419(-1)
Mon1,FBgn0031640,2L:4850641..4852640(1)
Cf2,FBgn0000286,2L:4876891..4883107(-1)
CG3008,FBgn0031643,2L:4883298..4885669(1)
CG3036,FBgn0031645,2L:4892112..4903889(1)
hoe1,FBgn0041150,2L:4908581..4932384(-1)
mRpL24,FBgn0031651,2L:4944256..4945361(-1)
betaggt-I,FBgn0015000,2L:4945579..4948324(1)
jet,FBgn0031652,2L:4948206..4949784(-1)
Marcal1,FBgn0031655,2L:4955509..4958292(1)
CG34125,FBgn0083961,2L:4965673..4966399(1)
eIF3i,FBgn0015834,2L:4966367..4967775(-1)
Scox,FBgn0262467,2L:4967832..4968935(-1)
Polr1C,FBgn0031657,2L:4969004..4970216(1)
l(2)05714,FBgn0010607,2L:4970135..4973921(-1)
CG14043,FBgn0031659,2L:4971702..4973687(1)
mRpL28,FBgn0031660,2L:4973976..4975316(1)
Gmd,FBgn0031661,2L:4975300..4977023(-1)
CG3792,FBgn0031662,2L:4977312..4978567(1)
CG8891,FBgn0031663,2L:4978484..4979379(-1)
CG8892,FBgn0031664,2L:4979513..4981592(-1)
CG34126,FBgn0083962,2L:4981614..4992702(1)
Rtnl1,FBgn0053113,2L:4992808..5009720(-1)
SelT,FBgn0031670,2L:5010922..5012127(1)
Col4a1,FBgn0000299,2L:5029609..5037279(1)
CG31650,FBgn0031673,2L:5040648..5044712(-1)
CG9121,FBgn0031675,2L:5047818..5051062(-1)
eIF3h,FBgn0022023,2L:5051193..5053094(-1)
senju,FBgn0031676,2L:5052843..5054575(1)
CG14036,FBgn0031677,2L:5054579..5055016(-1)
His3.3A,FBgn0014857,2L:5055058..5056149(1)
Nepl3,FBgn0031678,2L:5055982..5058248(-1)
Rpn11,FBgn0028694,2L:5058404..5059790(-1)
RpL37A,FBgn0261608,2L:5070957..5072055(1)
Pgant5,FBgn0031681,2L:5072170..5093592(-1)
CG5828,FBgn0031682,2L:5093976..5095910(1)
CG4230,FBgn0031683,2L:5096227..5099294(1)
ND-13A,FBgn0031684,2L:5099177..5100288(-1)
Msp300,FBgn0261836,2L:5100877..5207002(1)
tkv,FBgn0003716,2L:5219000..5271384(-1)
CR14033,FBgn0046776,2L:5242699..5244239(1)
Nin,FBgn0000228,2L:5271728..5278548(-1)
Bub1,FBgn0031696,2L:5278865..5283283(1)
vri,FBgn0016076,2L:5288944..5311223(1)
Ncoa6,FBgn0031698,2L:5315290..5326683(-1)
cype,FBgn0015031,2L:5327227..5327969(1)
Acsf2,FBgn0031703,2L:5339132..5342234(-1)
mid,FBgn0261963,2L:5461639..5467610(1)
CG7382,FBgn0031708,2L:5518893..5519896(-1)
cl,FBgn0000318,2L:5520135..5521382(1)
Vps52,FBgn0031710,2L:5521281..5523898(-1)
Elp4,FBgn0031711,2L:5524139..5525809(1)
asRNA:CR44793,FBgn0266028,2L:5525738..5526943(-1)
Cap-D3,FBgn0051989,2L:5525905..5535958(1)
Cox11,FBgn0051648,2L:5526957..5527854(1)
CG31915,FBgn0051915,2L:5528123..5530682(1)
Coq6,FBgn0031713,2L:5530620..5532223(-1)
Hel25E,FBgn0014189,2L:5539326..5542314(-1)
Lam,FBgn0002525,2L:5542480..5546642(1)
Oscillin,FBgn0031717,2L:5547086..5549614(1)
CG14014,FBgn0031718,2L:5549709..5550835(-1)
CG18269,FBgn0031719,2L:5551838..5552756(1)
CG11149,FBgn0031732,2L:5718121..5720899(-1)
sip1,FBgn0024191,2L:5721051..5723944(1)
CG11030,FBgn0031736,2L:5724656..5762420(1)
CG9171,FBgn0031738,2L:5767002..5800253(-1)
CG14005,FBgn0031739,2L:5800517..5801975(-1)
CG7239,FBgn0031740,2L:5802220..5804030(1)
CG11034,FBgn0031741,2L:5805395..5809063(1)
rau,FBgn0031745,2L:5859769..5879498(-1)
bchs,FBgn0043362,2L:5907169..5922776(1)
Gpdh1,FBgn0001128,2L:5943643..5948968(1)
CG9044,FBgn0031752,2L:5949450..5955235(1)
chic,FBgn0000308,2L:5972115..5981018(-1)
eIF4A,FBgn0001942,2L:5981764..5985909(1)
ifc,FBgn0001941,2L:5986348..5988854(1)
Kdm5,FBgn0031759,2L:5989400..5999501(-1)
Tsp26A,FBgn0031760,2L:6000228..6003738(1)
Gal,FBgn0001089,2L:6003574..6006827(-1)
CG9107,FBgn0031764,2L:6022951..6024539(-1)
mtm,FBgn0025742,2L:6034731..6037015(-1)
CG9117,FBgn0031766,2L:6036997..6037902(-1)
CG31643,FBgn0051643,2L:6038117..6041283(1)
Pfas,FBgn0000052,2L:6041181..6046050(-1)
slmo,FBgn0029161,2L:6046516..6048706(-1)
IPIP,FBgn0031768,2L:6048002..6050474(1)
CG9135,FBgn0031769,2L:6050800..6053877(1)
ND-51,FBgn0031771,2L:6060842..6062757(-1)
CG13994,FBgn0031772,2L:6062989..6063671(1)
Fbw5,FBgn0031773,2L:6063562..6065953(-1)
CG9147,FBgn0031774,2L:6065997..6067635(1)
Pfdn1,FBgn0031776,2L:6069079..6069838(1)
CG9154,FBgn0031777,2L:6069790..6070686(-1)
Kr-h2,FBgn0266449,2L:6070990..6073961(1)
CG9175,FBgn0031779,2L:6096698..6098966(-1)
stai,FBgn0266521,2L:6100377..6124653(1)
Arpc4,FBgn0284255,2L:6125132..6125911(1)
WDR79,FBgn0031782,2L:6125879..6127775(-1)
smal,FBgn0085409,2L:6179133..6211114(1)
PDZ-GEF,FBgn0265778,2L:6323767..6332789(1)
Pez,FBgn0031799,2L:6332881..6338671(-1)
Cpr,FBgn0015623,2L:6338836..6346280(1)
slam,FBgn0043854,2L:6372388..6377284(1)
CG13982,FBgn0031811,2L:6412315..6415335(1)
Fic,FBgn0263278,2L:6424336..6426371(1)
Acox3,FBgn0031813,2L:6426724..6448403(-1)
retm,FBgn0031814,2L:6448464..6455929(-1)
frj,FBgn0031815,2L:6456052..6459008(1)
HemK1,FBgn0031817,2L:6466217..6467698(-1)
mmy,FBgn0259749,2L:6468538..6473904(-1)
CG9536,FBgn0031818,2L:6474438..6476975(-1)
Sec61alpha,FBgn0086357,2L:6477182..6480575(-1)
Daxx,FBgn0031820,2L:6480929..6487576(1)
KFase,FBgn0287695,2L:6487342..6488756(-1)
epsilonCOP,FBgn0027496,2L:6489090..6490194(1)
Phf5a,FBgn0031822,2L:6490155..6490843(-1)
CG31638,FBgn0051638,2L:6491061..6496988(1)
CG9547,FBgn0031824,2L:6492974..6494532(-1)
CG31637,FBgn0051637,2L:6498647..6526996(1)
eya,FBgn0000320,2L:6527447..6546976(-1)
COX5B,FBgn0031830,2L:6557800..6559308(1)
Trmt6,FBgn0031832,2L:6559426..6562289(-1)
Ent2,FBgn0263916,2L:6562325..6564709(1)
CG13766,FBgn0031834,2L:6564112..6566181(-1)
CG11050,FBgn0031836,2L:6611011..6617117(1)
CG31635,FBgn0051635,2L:6632798..6649114(-1)
Tango1,FBgn0286898,2L:6649388..6654574(1)
CG31633,FBgn0051633,2L:6654760..6656321(-1)
Ube4A,FBgn0028467,2L:6658517..6662033(1)
Galt,FBgn0263200,2L:6666264..6668033(-1)
Spn27A,FBgn0028990,2L:6671065..6673347(-1)
cort,FBgn0000351,2L:6674682..6676635(-1)
Nse1,FBgn0031848,2L:6676649..6677625(-1)
Nhe3,FBgn0028703,2L:6677835..6684364(-1)
Aatf,FBgn0031851,2L:6717625..6719389(1)
homer,FBgn0025777,2L:6719394..6723359(-1)
Liprin-alpha,FBgn0046704,2L:6723903..6732766(1)
nrv1,FBgn0015776,2L:6778555..6786861(-1)
nrv2,FBgn0015777,2L:6789770..6798862(-1)
Rca1,FBgn0017551,2L:6852315..6853866(1)
l(2)k09022,FBgn0086451,2L:6854142..6860849(1)
Polr1F,FBgn0042092,2L:6906666..6907844(-1)
Rat1,FBgn0031868,2L:6908083..6911423(1)
Wee1,FBgn0011737,2L:6911090..6914138(-1)
x16,FBgn0028554,2L:6914301..6920210(-1)
CG32829,FBgn0052829,2L:6915581..6916445(-1)
nop5,FBgn0026196,2L:6916753..6918743(-1)
Hrb27C,FBgn0004838,2L:6920704..6932057(1)
CG18304,FBgn0031869,2L:6932545..6942814(-1)
Fgop2,FBgn0031871,2L:6943178..6945289(-1)
